title,total_prep_time,servings,ingredients,directions,rating,nutrition
Grandma's Skillet Pineapple Upside-Down Cake,1 hrs 10 mins,12,"1 stick butter, 1 ½ cups packed brown sugar, 1 (20 ounce) can sliced pineapple, 1 (4 ounce) jar cherries, 1 ½ cups all-purpose flour, 2 ½ teaspoons baking powder, ½ teaspoon salt, 1 ½ cups white sugar, ½ cup butter, 2 large eggs, 1 cup milk, 2 teaspoons vanilla extract","Preheat the oven to 375 degrees F (190 degrees C).
Melt 1 stick butter in the bottom of a cast iron skillet over medium heat, about 3 minutes. Remove from heat and sprinkle brown sugar evenly over butter. Add pineapple slices to the skillet in a decorative layer with a cherry in the middle of each pineapple ring. Set aside.
Sift flour, baking powder, and salt together in a bowl.
Cream sugar and 1/2 cup butter together in a bowl. Add eggs and mix. Add flour mixture and milk in an alternating fashion. Add vanilla extract and mix well. Pour mixture evenly over pineapples in the skillet.
Bake in the preheated oven until cake is golden brown, about 40 minutes.
Let cake cool in the skillet for 10 minutes before inverting onto a serving plate. Serve warm.",4.7,"Total Fat 17g 21%, Saturated Fat 10g 52%, Cholesterol 73mg 24%, Sodium 340mg 15%, Total Carbohydrate 77g 28%, Dietary Fiber 1g 3%, Total Sugars 61g, Protein 4g, Vitamin C 5mg 24%, Calcium 116mg 9%, Iron 1mg 8%, Potassium 113mg 2%"
Chocolate-Covered Cherries,1 hrs 30 mins,60,"60  maraschino cherries with stems, 3 tablespoons butter, softened, 3 tablespoons corn syrup, 2 cups sifted confectioners' sugar, 1 pound chocolate confectioners' coating ","Drain cherries and set on paper towels to dry.
Stir together butter and corn syrup in a medium bowl until smooth. Mix in confectioners' sugar and knead to form a dough. Wrap each cherry in about 1 teaspoon dough. Chill in the refrigerator until firm.
Melt confectioners' coating in a heavy saucepan over low heat. Holding onto the stem, dip each cherry into coating and place on waxed paper-lined sheet trays. Chill in the refrigerator until coating is set. Store in an airtight container in a cool place.",4.7,"Total Fat 4g 5%, Saturated Fat 2g 11%, Cholesterol 2mg 1%, Sodium 5mg 0%, Total Carbohydrate 11g 4%, Dietary Fiber 0g 1%, Total Sugars 5g, Protein 1g, Calcium 6mg 0%, Iron 0mg 2%, Potassium 55mg 1%"
Thirty Day Friendship Cake,19 days 19 hrs 2 mins,48,"  2 cups Friendship Fruit Starter, 1 (15 ounce) can sliced peaches with juice, 2 ½ cups white sugar, 1 (15 ounce) can pineapple chunks with juice, ½ cup white sugar, 2 (10 ounce) jars maraschino cherries, 2 ½ cups white sugar, 2 (18.25 ounce) packages yellow cake mix, 2 (3.4 ounce) packages instant vanilla pudding mix, 1 ⅓ cups vegetable oil, 8  eggs, 2 cups golden raisins, 2 cups chopped walnuts, 2 cups flaked coconut","Day One: In a large glass jar or bowl, combine 2 cups of the starter with 1 can of the sliced peaches and their juice (each slice chopped into 4 pieces). Add 2 1/2 cups of the white sugar and stir once every day for 10 days. When not stirring mixture, keep it covered with a paper towel, foil, or a loose lid. Let sit at room temperature. Don't refrigerate it or cover it airtight. A pan of water underneath the jar or bowl will keep the ants out.
Day Ten: Add 1 can of chunk pineapple and its juice. Cut each chunk of pineapple in half. Stir in 1/2 cup of white sugar. Stir once everyday for 10 days. The color should change, and the mixture should foam when stirred.
Day Twenty: Slice each cherry in half, and stir in. Add 2 1/2 cups of the white sugar. Stir once every day for the final 10 days. The cherries will give the juice back its pinkish color.
Day Thirty: Drain fruit and reserve it and the liquid. The fruit will be used in the cake. Pour the liquid into 3 glass or ceramic pint jars. One for you to start your next cake, and two for friends. Cake must be started within 3 days after receiving the starter, or you should freeze the starter to use at a later date. Do not use plastic or metal containers to store liquid!
Preheat oven to 325 degrees F (165 degrees C). Grease and flour two 9x13-inch baking pans.
It's best to mix the two cakes separately. Combine 1 box of the cake mix, 1 box of the instant vanilla pudding, 2/3 cup of the vegetable oil, and 4 of the eggs. Stir, then add 1/2 of the drained reserved fruit from the starter. Stir, then add 1 cup of the golden raisins, 1 cup of the chopped nuts and 1 cup of the coconut. Stir until all ingredients are combined. The batter will be stiff. Pour batter into the prepared cake pan. Repeat for cake number two.
Bake cakes at in the preheated oven for 55 to 65 minutes.",4.6,"Total Fat 14g 17%, Saturated Fat 3g 14%, Cholesterol 31mg 10%, Sodium 220mg 10%, Total Carbohydrate 56g 20%, Dietary Fiber 1g 5%, Total Sugars 39g, Protein 3g, Vitamin C 1mg 7%, Calcium 45mg 3%, Iron 1mg 4%, Potassium 121mg 3%"
Old Time Mincemeat Pie,7 days 1 hrs 25 mins,8,"1 ¼ pounds round steak, cut into small pieces, 1 cup apple cider, 4  Granny Smith apples - peeled, cored and finely diced, 1 ⅓ cups white sugar, 2 ½ cups dried currants, 2 ½ cups raisins, ½ pound chopped candied mixed fruit peel, ½ cup butter, 1 (16 ounce) jar sour cherry preserves, 1 teaspoon ground ginger, ½ teaspoon ground cloves, ½ teaspoon ground nutmeg, ½ teaspoon ground cinnamon, ½ teaspoon salt, 1 (16 ounce) can pitted sour cherries, drained with liquid reserved, 1 recipe pastry for a 9 inch double crust pie, 2 tablespoons heavy cream","In a Dutch oven, combine beef and apple cider. Bring to a boil, then reduce heat to a simmer. Cover and cook for about 20 minutes, or until meat is tender. Remove meat and coarsely chop, then return it to the pot.
Stir in chopped apples, sugar, currants, raisins, citrus peel, butter and cherry preserves. Add ginger, cloves, nutmeg, cinnamon and salt. Let simmer, uncovered, over low heat until mixture is very thick, about 90 minutes. Stir in cherries and remove from heat.
Refrigerate tightly covered for at least a week before using.
Preheat oven to 350 degrees F (175 degrees C). Put filling in unbaked pie shell and place pastry on top. Crimp edges and poke several holes in top pastry. Brush top with cream and sprinkle with sugar.
Bake in preheated oven for 40 minutes, or until golden brown.",4.9,"Total Fat 38g 48%, Saturated Fat 16g 78%, Cholesterol 80mg 27%, Sodium 521mg 23%, Total Carbohydrate 181g 66%, Dietary Fiber 9g 32%, Total Sugars 82g, Protein 21g, Vitamin C 33mg 164%, Calcium 78mg 6%, Iron 6mg 31%, Potassium 970mg 21%"
Baked Ham with Sweet Glaze,3 hrs,20,"1 (10 pound) fully-cooked, bone-in ham, 4 cups boiling water, or as needed, 1 cup packed brown sugar, 2 tablespoons all-purpose flour, 2 tablespoons dry mustard powder, ¼ cup honey, 1 teaspoon fresh lemon juice, or as needed, 1 (20 ounce) can pineapple chunks, drained, 1 (10 ounce) jar maraschino cherries, drained,   toothpicks","Preheat oven to 400 degrees F (200 degrees C). Place ham on a rack set in a roasting pan, and carefully pour about 1/2 inch of boiling water into the pan beneath the ham.
Bake the ham in the preheated oven for 2 hours, or until a meat thermometer inserted into the thickest part of the meat (do not touch the bone) reads at least 140 degrees F (60 degrees C.)
Reduce oven heat to 350 degrees F (175 degrees C.) In a bowl, mix together the brown sugar, flour, dry mustard, honey, and lemon juice as needed to make a thick, smooth paste. Brush the ham generously with glaze. Skewer 1 pineapple chunk and 1 maraschino cherry per toothpick, and insert the decorated picks all over the ham.
Return the ham to the oven, and roast for 15 minutes. Baste the ham, fruit and all, with glaze and juices that have collected in the bottom of the pan, return to the oven, and roast for an additional 15 minutes. Let the ham rest for at least 10 minutes before slicing.",4.7,"Total Fat 33g 42%, Saturated Fat 12g 60%, Cholesterol 218mg 73%, Sodium 146mg 6%, Total Carbohydrate 24g 9%, Dietary Fiber 0g 1%, Total Sugars 18g, Protein 66g, Vitamin C 3mg 17%, Calcium 46mg 4%, Iron 3mg 15%, Potassium 920mg 20%"
Fresh Cherry Muffins,40 mins,12,"1 ½ cups all-purpose flour, ¾ cup white sugar, 2 teaspoons baking powder, ½ teaspoon salt, ⅓ cup vegetable oil, ⅓ cup milk, 1  egg, ½ teaspoon almond extract, 1 cup fresh pitted and quartered sweet cherries, 1 tablespoon white sugar","Preheat oven to 400 degrees F (200 degrees C). Line a muffin tin with paper liners.
Mix flour, 3/4 cup sugar, baking powder, and salt together in a bowl.
Whisk oil, milk, egg, and almond extract together in a small bowl. Pour into flour mixture; stir gently until incorporated. Fold cherries into the batter.
Spoon batter into the muffin cups, filling each 2/3 of the way full. Sprinkle 1 tablespoon sugar on top.
Bake muffins in the preheated oven until a toothpick inserted into the center comes out clean, about 20 minutes. Transfer to a wire rack to cool.",4.6,"Total Fat 7g 9%, Saturated Fat 1g 6%, Cholesterol 16mg 5%, Sodium 187mg 8%, Total Carbohydrate 28g 10%, Dietary Fiber 1g 3%, Total Sugars 16g, Protein 3g, Vitamin C 1mg 5%, Calcium 60mg 5%, Iron 1mg 5%, Potassium 60mg 1%"
Easy Fruit Cobbler,1 hrs 15 mins,8,"1 cup all-purpose flour, 2 teaspoons baking powder, ¾ cup white sugar, ¾ cup milk, ¼ cup butter, 2 cups sliced fresh peaches","Preheat oven to 325 degrees F (165 degrees C). Melt butter in a 9 x 9 inch baking dish.
Blend together flour, baking powder, sugar, and milk.
Pour batter in baking dish over the butter. Sprinkle fruit on top of the batter, do not stir. Bake for 1 hour or until golden brown.",4.3,"Total Fat 6g 8%, Saturated Fat 4g 20%, Cholesterol 17mg 6%, Sodium 174mg 8%, Total Carbohydrate 34g 12%, Dietary Fiber 0g 1%, Total Sugars 22g, Protein 2g, Vitamin C 14mg 69%, Calcium 102mg 8%, Iron 1mg 5%, Potassium 64mg 1%"
Pineapple Glaze for Ham,15 mins,14,"1 (15.25 ounce) can sliced pineapple, drained with juice reserved, 1 (4 ounce) jar maraschino cherries, drained, 1 cup brown sugar","Before baking ham, place pineapple slices on ham with toothpicks and place cherries in center of pineapple.
In a medium microwave safe bowl combine brown sugar and reserved pineapple juice. Mix together and microwave for about 5 minutes, until mixture is thick. Pour some of this glaze over the ham about every 15 minutes in the last hour of baking, until all is used.",4.5,"Sodium 7mg 0%, Total Carbohydrate 24g 9%, Dietary Fiber 0g 1%, Total Sugars 21g, Vitamin C 3mg 16%, Calcium 14mg 1%, Iron 0mg 1%, Potassium 31mg 1%"
Door County Cherry Bounce,19 days 17 hrs 12 mins,10,"2 cups pitted tart cherries (such as Door County cherries), ⅓ cup white sugar, or to taste, 1 cup vodka, or as needed","Put cherries in a clean, 1-quart glass jar; add sugar. Fill the rest of the jar with vodka. Place lid on jar and shake.
Store jar in a cool, dark area for 1 to 4 months, shaking jar occasionally.",5,"Total Fat 0g 0%, Saturated Fat 0g 1%, Sodium 0mg 0%, Total Carbohydrate 12g 4%, Dietary Fiber 1g 3%, Total Sugars 11g, Protein 0g, Vitamin C 2mg 10%, Calcium 4mg 0%, Iron 0mg 1%, Potassium 65mg 1%"
English Trifle,,14,"2 (8 or 9 inch) white cake layers, baked and cooled, 2 pints fresh strawberries, ¼ cup white sugar, 1 pint fresh blueberries, 2  bananas, ¼ cup orange juice, 1 (3.5 ounce) package instant vanilla pudding mix, 2 cups milk, 1 cup heavy whipping cream, ¼ cup blanched slivered almonds, 12  maraschino cherries","Slice strawberries and sprinkle them with sugar. Cut the bananas into slices and toss with orange juice. Combine pudding mix with milk and mix until smooth. Cut the cake into 1 inch cubes.
Use half of the cake cubes to line the bottom of a large glass bowl. Layer half of the strawberries followed by half of the blueberries, and then half of the bananas. Spread half of the pudding over the fruit. Repeat layers in the same order.
In a medium bowl, whip the cream to stiff peaks and spread over top of trifle. Garnish with maraschino cherries and slivered almonds.









",4.8,"Total Fat 24g 31%, Saturated Fat 9g 43%, Cholesterol 29mg 10%, Sodium 537mg 23%, Total Carbohydrate 98g 36%, Dietary Fiber 3g 12%, Total Sugars 63g, Protein 10g, Vitamin C 36mg 182%, Calcium 234mg 18%, Iron 2mg 13%, Potassium 371mg 8%"
Simple Summer Smoothie,10 mins,4,"1  banana, 1 cup frozen strawberries, 1 cup frozen blueberries, 1 cup frozen cherries, 4  ice cubes, ½ cup orange juice, ¾ cup vanilla yogurt, ½ teaspoon honey (Optional)","Place the banana, strawberries, blueberries, cherries, and ice cubes into a blender. Pour in the orange juice, vanilla yogurt, and honey. Puree until smooth.",4.5,"Total Fat 1g 2%, Saturated Fat 1g 3%, Cholesterol 2mg 1%, Sodium 34mg 1%, Total Carbohydrate 31g 11%, Dietary Fiber 4g 13%, Total Sugars 23g, Protein 4g, Vitamin C 43mg 214%, Calcium 101mg 8%, Iron 1mg 5%, Potassium 420mg 9%"
The Best Cherry Pie,1 hrs 23 mins,8,"1 (15 ounce) package double crust ready-to-use pie crust, 3 cups cherries, pitted, ¾ cup white sugar, 3 tablespoons cornstarch, ¼ teaspoon almond extract, 2 tablespoons salted butter, cut into bits","Preheat oven to 400 degrees F (200 degrees C). Line a baking sheet with aluminum foil. Place bottom pie crust into a 9-inch pie pan; made pricks along the bottom with a fork.
Bake in the preheated oven until pie crust is lightly browned, about 8 minutes. Remove crust from oven and cool for 5 minutes.
Combine cherries, sugar, cornstarch, and almond extract together in a bowl. Pour cherry mixture into the prepared pie pan; dot with butter. Cover with top crusts, crimp the edges to seal, and cut vents into the top with a sharp knife. Place the pie on a foil-covered baking sheet.
Bake in the preheated oven for 30 minutes. If it is browning too fast cover the pie with an aluminum foil tent. Continue baking until crust is golden brown and filling is bubbly, 10 to 20 minutes. Place on a wire rack to cool, about 15 minutes.",4.9,"Total Fat 20g 25%, Saturated Fat 6g 30%, Cholesterol 8mg 3%, Sodium 274mg 12%, Total Carbohydrate 53g 19%, Dietary Fiber 3g 11%, Total Sugars 27g, Protein 4g, Vitamin C 4mg 19%, Calcium 14mg 1%, Iron 2mg 9%, Potassium 154mg 3%"
Homemade Old Fashioned Mix,1 hrs 10 mins,48,"3 cups water, 3 cups white sugar, 3  clementine oranges, quartered, 5  maraschino cherries, or more to taste, 1  cinnamon stick, 2 tablespoons bitters, or to taste","Bring water and sugar to a boil in a saucepan; remove from heat. Stir oranges, cherries, and cinnamon stick into sugar mixture. Cover saucepan and steep for 1 hour.
Remove fruit and cinnamon stick from mixture using a slotted spoon; stir in bitters.",4.7,"Sodium 1mg 0%, Total Carbohydrate 16g 6%, Dietary Fiber 0g 0%, Total Sugars 13g, Vitamin C 1mg 7%, Calcium 3mg 0%, Potassium 12mg 0%"
Fresh Cherry Crisp,1 hrs,8,"4 cups pitted sour cherries, 1 ½ cups white sugar, 4 tablespoons all-purpose flour, 1 ½ cups all-purpose flour, 1 cup old-fashioned oats, 1 cup brown sugar, ½ cup butter, ½ cup shortening","Preheat oven to 375 degrees F (190 degrees C).
In a large bowl, combine cherries, 1 1/2 cups white sugar, and 4 tablespoons flour. Pour into 9x13 inch baking dish. In a medium bowl, combine 1 1/2 cups flour, oats, and brown sugar. Cut in butter and shortening until crumbly. Sprinkle over cherries.
Bake in preheated oven for 45 to 50 minutes, or until topping is golden brown.",4.4,"Total Fat 26g 33%, Saturated Fat 11g 54%, Cholesterol 31mg 10%, Sodium 90mg 4%, Total Carbohydrate 92g 34%, Dietary Fiber 3g 11%, Total Sugars 62g, Protein 5g, Vitamin C 8mg 39%, Calcium 41mg 3%, Iron 2mg 12%, Potassium 228mg 5%"
Monte Carlo Cocktail,5 mins,1,"  ice, 2 fluid ounces rye whiskey, ¾ fluid ounce Benedictine liqueur, 2 dashes aromatic bitters (such as Peychaud's®, 1  maraschino cherry",Fill a cocktail shaker with ice. Pour in whiskey and Benedictine. Shake in bitters. Cover and shake well. Strain into a chilled glass. Garnish with maraschino cherry.,5,"Sodium 8mg 0%, Total Carbohydrate 7g 3%, Dietary Fiber 0g 0%, Calcium 8mg 1%, Potassium 13mg 0%"
Cherry Dump Cake,45 mins,12,"2 (21 ounce) cans cherry pie filling, 1 (15.25 ounce) package white cake mix, ¼ cup butter, melted, ½ cup coarsely chopped pecans","Preheat the oven to 350 degrees F (175 degrees C).
Spread cherry pie filling over the bottom of a 9x13-inch baking pan. Stir cake mix and butter together into a gooey, clumpy mixture. Break into pieces between your fingers and crumble evenly on top of the cherry filling. Sprinkle pecans on top.
Bake in the preheated oven until golden brown on top, 35 to 40 minutes.",4.4,"Total Fat 11g 14%, Saturated Fat 3g 17%, Cholesterol 10mg 3%, Sodium 284mg 12%, Total Carbohydrate 57g 21%, Dietary Fiber 1g 5%, Total Sugars 20g, Protein 2g, Vitamin C 4mg 19%, Calcium 84mg 6%, Iron 1mg 5%, Potassium 166mg 4%"
Chocolate Covered Cherry Cookies,30 mins,18,"1 cup white sugar, ½ cup butter, 1  egg, 1 ½ teaspoons vanilla extract, 1 ½ cups all-purpose flour, ½ cup unsweetened cocoa powder, ¼ teaspoon salt, ¼ teaspoon baking soda, ¼ teaspoon baking powder, 1 (10 ounce) jar maraschino cherries, ½ cup sweetened condensed milk, 1 cup semisweet chocolate chips","Preheat the oven to 350 degrees F (180 degrees C).
Beat sugar and butter together in a large bowl with an electric mixer until light and fluffy. Add egg and vanilla; beat well. Stir in flour, cocoa powder, salt, baking soda, and baking powder until smooth. Roll dough into walnut-size balls and place 2 inches apart on ungreased cookie sheets. Make an indentation with your thumb in the center of each cookie.
Drain cherries and reserve juice. Place a cherry in the indentation of each cookie ball.
Combine chocolate chips with condensed milk in a saucepan over low heat; stir until chocolate is melted. Stir in 4 teaspoons of cherry juice. Drizzle or spoon about 1 teaspoon of chocolate cherry mixture over each cherry to cover.
Bake in the preheated for 10 minutes. Cool on the baking sheets briefly before removing to a wire rack to cool completely.",4.6,"Total Fat 9g 12%, Saturated Fat 6g 28%, Cholesterol 17mg 6%, Sodium 100mg 4%, Total Carbohydrate 36g 13%, Dietary Fiber 2g 6%, Protein 3g, Vitamin C 0mg 1%, Calcium 39mg 3%, Iron 1mg 7%, Potassium 159mg 3%"
Baked Fresh Cherry Pie,3 hrs 20 mins,8,"1 recipe pastry for a 9 inch double crust pie, 4 tablespoons quick-cooking tapioca, ⅛ teaspoon salt, 1 cup white sugar, 4 cups pitted cherries, ¼ teaspoon almond extract, ½ teaspoon vanilla extract, 1 ½ tablespoons butter","Preheat oven to 400 degrees F (205 degrees C). Place bottom crust in pie pan. Set top crust aside, covered.
In a large mixing bowl combine tapioca, salt, sugar, cherries, and extracts. Let stand 15 minutes. Turn out into bottom crust and dot with butter. Cover with top crust, flute edges and cut vents in top. Place pie on a foil-lined cookie sheet--in case of drips!
Bake for 50 minutes in the preheated oven, until golden brown. Let cool for several hours before slicing.",4.6,"Total Fat 18g 23%, Saturated Fat 5g 26%, Cholesterol 6mg 2%, Sodium 286mg 12%, Total Carbohydrate 61g 22%, Dietary Fiber 3g 12%, Total Sugars 35g, Protein 4g, Vitamin C 5mg 26%, Calcium 17mg 1%, Iron 2mg 9%, Potassium 193mg 4%"
Dried Cherry Cake,,12,"½ cup chopped dried cherries, ½ cup hot water, ½ teaspoon almond extract, 1 ½ cups all-purpose flour, 2 teaspoons baking powder, ¼ teaspoon salt, 1 cup white sugar, 1 (8 ounce) container vanilla yogurt, ½ cup vegetable oil, 1  egg, 1  egg white, ¼ cup chopped pecans, 1 tablespoon white sugar","Combine cherries, hot water, and almond extract: let stand 20 minutes. Drain cherries, and pat dry between layers of paper towels. Set aside.
In a large bowl, combine flour, salt, baking powder, and 1 cup white sugar. Add yogurt, eggs, and oil. Stir well. Fold in cherries. Pour batter into a greased and floured 9 inch round cake pan.
Stir pecans and 1 tablespoon white sugar together. Sprinkle on top of batter in pan.
Bake at 350 degrees F (175 degrees C) for 35 minutes, or until wooden pick comes out clean. Cool in pan on wire rack 10 minutes. Serve warm, or at room temperature.",4.6,"Total Fat 12g 15%, Saturated Fat 2g 8%, Cholesterol 16mg 5%, Sodium 154mg 7%, Total Carbohydrate 37g 14%, Dietary Fiber 1g 4%, Total Sugars 23g, Protein 4g, Vitamin C 0mg 1%, Calcium 88mg 7%, Iron 1mg 6%, Potassium 78mg 2%"
Chef John's Classic Rice Pudding,3 hrs 35 mins,4,"½ cup uncooked long-grain white rice, ¼ teaspoon kosher salt, 1 cup water, ¼ cup white sugar, 1 ⅓ cups milk, ½ teaspoon vanilla extract, ⅛ teaspoon ground cinnamon, 1  large egg yolk, 1 tablespoon cold butter, 2 tablespoons dried cherries, chopped","Place rice, salt, and water into a saucepan. Bring to a boil over medium-high heat. Reduce heat to low, cover, and cook until tender, about 20 minutes. Remove from heat; sprinkle with sugar and pour in milk. Stir with a whisk until until the thin layer of cooked-on starch at the bottom of the pan is cleared and incorporated into the mixture, 2 or 3 minutes.
Place pan over medium heat, stirring frequently, until it reaches your desired of level of doneness and creaminess, 8 to 10 minutes. The longer it cooks, the thicker and stickier it will be. Remove from heat. Add vanilla and cinnamon. Very quickly whisk in the egg yolk (to prevent it from cooking). Whisk for about 1 more minute. Add butter and dried cherries; stir thoroughly.
Transfer warm pudding to serving dishes. Cool to room temperature. Cover and refrigerate until thoroughly chilled, 3 to 4 hours.









",4.7,"Total Fat 6g 7%, Saturated Fat 3g 17%, Cholesterol 65mg 22%, Sodium 180mg 8%, Total Carbohydrate 40g 14%, Dietary Fiber 1g 3%, Total Sugars 19g, Protein 5g, Vitamin C 0mg 1%, Calcium 114mg 9%, Iron 1mg 7%, Potassium 156mg 3%"
BC Cherry Jam,50 mins,40,"3 cups pitted, chopped fresh cherries, ½ cup unsweetened apple juice, 2 teaspoons lemon juice, 2 (2 ounce) packages powdered fruit pectin, 3 cups white sugar, 4  half pint canning jars with lids and rings","Place cherries, apple juice, lemon juice, and pectin into a large saucepan over medium heat; bring to a boil, and mix in the sugar. Cook the jam at a rolling boil for 2 minutes, stirring constantly. Remove from heat and skim off any foam.
Sterilize the jars and lids in boiling water for at least 5 minutes. Pack the cherry jam into the hot, sterilized jars, filling the jars to within 1/4 inch of the top. Run a knife or a thin spatula around the insides of the jars after they have been filled to remove any air bubbles. Wipe the rims of the jars with a moist paper towel to remove any food residue. Top with lids, and screw on rings.
Place a rack in the bottom of a large stockpot and fill halfway with water. Bring to a boil over high heat, then carefully lower the jars into the pot using a holder. Leave a 2 inch space between the jars. Pour in more boiling water if necessary until the water level is at least 1 inch above the tops of the jars. Bring the water to a full boil, cover the pot, and process for 15 minutes, or the time as recommended by your county Extension agent.
Remove the jars from the stockpot and place onto a cloth-covered or wood surface, several inches apart, until cool. Once cool, press the top of each lid with a finger, ensuring that the seal is tight (lid does not move up or down at all). Store in a cool, dark area.",4.4,"Total Fat 0g 0%, Sodium 0mg 0%, Total Carbohydrate 17g 6%, Dietary Fiber 0g 1%, Total Sugars 17g, Protein 0g, Vitamin C 1mg 5%, Calcium 2mg 0%, Iron 0mg 1%, Potassium 29mg 1%"
Cherry Chicken Salad,45 mins,4,"3  cooked, boneless chicken breast halves, diced, ⅓ cup  dried cherries, ⅓ cup diced celery, ⅓ cup toasted, chopped pecans, ⅓ cup low-fat mayonnaise, 1 tablespoon buttermilk, ½ teaspoon salt, ½ teaspoon ground black pepper, ⅓ cup cubed apples (Optional)","In a large bowl, combine the chicken, dried cherries, celery, nuts, mayonnaise, milk, salt and pepper and apple if desired. Toss together well and refrigerate until chilled. Serve on toasted cracked wheat bread or croissants.",4.7,"Total Fat 13g 16%, Saturated Fat 2g 12%, Cholesterol 62mg 21%, Sodium 356mg 15%, Total Carbohydrate 12g 4%, Dietary Fiber 2g 8%, Total Sugars 8g, Protein 24g, Vitamin C 1mg 5%, Calcium 34mg 3%, Iron 1mg 7%, Potassium 230mg 5%"
Clafoutis aux Cerises (Classic Clafouti),2 hrs,8,"1 ½ cups milk, ½  vanilla bean, split (Optional), 1 teaspoon unsalted butter, 4 cups cherries (with pits), ½ cup all-purpose flour, 1 pinch salt, ½ cup white sugar, 3  eggs, 3 tablespoons heavy cream, 2 tablespoons white sugar","Combine milk and vanilla bean in a pot and steep for at least 1 hour.
Preheat oven to 350 degrees F (175 degrees C). Grease an 8-inch baking dish with butter. Spread out cherries in the bottom of the prepared baking dish.
Combine 1/2 cup flour, 1/2 cup sugar and salt in a bowl. Add eggs one at a time; beat with an electric mixer after each addition until smooth and creamy.
Remove vanilla bean from milk and discard. Add milk to egg mixture. Pour in heavy cream; mix until smooth. Pour mixture evenly over cherries.
Bake in the preheated oven until top of clafoutis is golden, 45 to 50 minutes. Remove from the oven and sprinkle 2 tablespoons sugar on top. Let cool slightly before serving so that the clafoutis is set. Serve warm or at room temperature.











Magda
",4.7,"Total Fat 6g 8%, Saturated Fat 3g 14%, Cholesterol 74mg 25%, Sodium 64mg 3%, Total Carbohydrate 37g 13%, Dietary Fiber 2g 7%, Total Sugars 29g, Protein 5g, Vitamin C 5mg 26%, Calcium 78mg 6%, Iron 1mg 6%, Potassium 266mg 6%"
Sweet Polish Cherry Cake,1 hrs 5 mins,12,"1 cup white sugar, 2 ½ cups all-purpose flour, 1 tablespoon baking powder, 1 teaspoon baking soda, 1 tablespoon butter, 2 cups pitted sweet cherries, 1 tablespoon white sugar, ½ cup olive oil, 4  eggs, 1 (6 ounce) container plain yogurt, 1 tablespoon olive oil","Preheat oven to 350 degrees F (175 degrees C). In a mixing bowl, whisk 1 cup sugar, flour, baking powder, and baking soda together until evenly combined.
Melt butter in a skillet over medium heat. Cook and stir the pitted cherries in the butter until they are tender, sprinkling them with 1 tablespoon of sugar, 8 to 10 minutes. Set aside.
Form a well in the center of the dry ingredients, and pour in 1/2 cup olive oil, eggs, and yogurt; use your fingers to lightly stir the liquid ingredients into the flour mixture to make a soft dough. Scrape the batter into a 9x12-inch baking dish. Drizzle the batter with 1 tablespoon of olive oil, and top with the cherries.
Bake in the preheated oven until the cake is set and golden on top, about 40 minutes. A toothpick inserted into the center of the cake should come out clean.",3.9,"Total Fat 14g 17%, Saturated Fat 3g 14%, Cholesterol 65mg 22%, Sodium 229mg 10%, Total Carbohydrate 43g 16%, Dietary Fiber 1g 5%, Total Sugars 22g, Protein 6g, Vitamin C 2mg 9%, Calcium 89mg 7%, Iron 2mg 9%, Potassium 138mg 3%"
Cherry Winks,,30,"¾ cup shortening, 1 cup white sugar, 2  eggs, 2 tablespoons milk, 1 teaspoon vanilla extract, 2 ¼ cups sifted all-purpose flour, 1 teaspoon baking powder, ½ teaspoon baking soda, ½ teaspoon salt, 1 cup chopped pecans, 1 cup dates, pitted and chopped, ⅓ cup maraschino cherries, chopped, 2 ½ cups crushed cornflakes cereal, 10  maraschino cherries, quartered","Preheat oven to 375 degrees F (190 degrees C). Lightly grease baking sheets.
Cream the shortening with the sugar. Blend in the eggs, milk and vanilla.
Sift together the flour, baking powder, baking soda and salt. Add the flour mixture to the creamed mixture and mix well. Stir in the chopped pecans, chopped dates and 1/3 cup maraschino cherries.
Shape teaspoonful sized chunks of dough into balls. Roll each ball in the crushed corn flakes. Place balls on the prepared baking sheets and top each cookie with 1/4 maraschino cherry.
Bake at 375 degrees F (190 degrees C) for 10 to 12 minutes. Let cool completely before storing in airtight containers.",4.7,"Total Fat 8g 11%, Saturated Fat 2g 8%, Cholesterol 13mg 4%, Sodium 98mg 4%, Total Carbohydrate 22g 8%, Dietary Fiber 1g 4%, Total Sugars 10g, Protein 2g, Vitamin C 1mg 3%, Calcium 19mg 1%, Iron 1mg 7%, Potassium 72mg 2%"
Cherry Ham Glaze,10 mins,12,"3 tablespoons water, ¼ cup white vinegar, 2 tablespoons light corn syrup, 1 (12 ounce) jar cherry preserves, ¼ teaspoon ground cinnamon, ¼ teaspoon ground cloves, ¼ teaspoon ground nutmeg","Stir together water, vinegar, corn syrup, preserves, cinnamon, cloves, and nutmeg in a saucepan over medium-high heat. Bring to a boil, then reduce heat to low and simmer for 2 minutes.
Brush 1/4 to 1/3 cup of this glaze over your ham about 30 minutes before it is finished baking. Stir any ham drippings into the remaining glaze and serve alongside the sliced ham.",4.7,"Total Fat 0g 0%, Sodium 11mg 0%, Total Carbohydrate 22g 8%, Dietary Fiber 0g 1%, Total Sugars 15g, Protein 0g, Vitamin C 3mg 13%, Calcium 7mg 1%, Iron 0mg 1%, Potassium 23mg 0%"
